iter	Passed	Remaining
683	992	458
684	993	456
685	994	455
686	995	453
687	995	451
688	996	449
689	998	448
690	999	447
691	1000	445
692	1001	443
693	1002	441
694	1002	440
695	1003	438
696	1005	436
697	1006	435
698	1007	433
699	1007	431
700	1008	430
701	1009	428
702	1010	426
703	1011	425
704	1012	423
705	1013	421
706	1014	420
707	1014	418
708	1015	416
709	1016	415
710	1017	413
711	1017	411
712	1018	410
713	1019	408
714	1020	406
715	1021	405
716	1022	403
717	1023	402
718	1024	400
719	1025	398
720	1026	397
721	1027	395
722	1028	394
723	1029	392
724	1030	390
725	1031	389
726	1031	387
727	1032	385
728	1033	384
729	1034	382
730	1035	381
731	1036	379
732	1038	378
733	1039	376
734	1039	374
735	1040	373
736	1041	371
737	1043	370
738	1043	368
739	1044	367
740	1045	365
741	1046	363
742	1047	362
743	1047	360
744	1048	358
745	1049	357
746	1050	355
747	1051	354
748	1052	352
749	1053	351
750	1054	349
751	1055	347
752	1056	346
753	1057	344
754	1058	343
755	1059	341
756	1059	340
757	1060	338
758	1061	337
759	1062	335
760	1062	333
761	1064	332
762	1065	330
763	1066	329
764	1067	327
765	1068	326
766	1069	324
767	1069	323
768	1070	321
769	1071	320
770	1072	318
771	1073	317
772	1074	315
773	1075	313
774	1076	312
775	1076	310
776	1077	309
777	1078	307
778	1080	306
779	1081	305
780	1082	303
781	1083	302
782	1084	300
783	1085	299
784	1086	297
785	1087	296
786	1088	294
787	1089	293
788	1090	291
789	1090	289
790	1091	288
791	1092	286
792	1093	285
793	1094	284
794	1095	282
795	1096	281
796	1097	279
797	1098	277
798	1098	276
799	1099	274
800	1100	273
801	1101	271
802	1102	270
803	1103	269
804	1104	267
805	1105	265
806	1105	264
807	1106	262
808	1107	261
809	1108	259
810	1109	258
811	1110	257
812	1111	255
813	1111	254
814	1112	252
815	1113	251
816	1114	249
817	1115	248
818	1116	246
819	1117	245
820	1118	243
821	1119	242
822	1120	241
823	1121	239
824	1122	238
825	1123	236
826	1124	235
827	1125	233
828	1126	232
829	1127	230
830	1128	229
831	1129	228
832	1129	226
833	1130	225
834	1131	223
835	1132	222
836	1133	220
837	1134	219
838	1135	217
839	1136	216
840	1137	215
841	1138	213
842	1139	212
843	1140	210
844	1141	209
845	1142	207
846	1143	206
847	1143	205
848	1144	203
849	1145	202
850	1146	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1150	193
856	1151	192
857	1152	190
858	1153	189
859	1154	187
860	1155	186
861	1156	185
862	1157	183
863	1158	182
864	1158	180
865	1159	179
866	1160	178
867	1161	176
868	1162	175
869	1163	173
870	1164	172
871	1165	171
872	1166	169
873	1166	168
874	1167	166
875	1168	165
876	1169	164
877	1171	162
878	1171	161
879	1172	159
880	1173	158
881	1174	157
